i: 1 x: 0.844757 y: 0.291810
i: 1 x: 0.120980 y: 0.239887
i: 0 x: 0.241738 y: 0.990995
i: 0 x: 0.809658 y: 0.812617
i: 1 x: 0.740605 y: 0.247678
i: 1 x: 0.465018 y: 0.632971
i: 0 x: 0.957636 y: 0.586216
i: 1 x: 0.318559 y: 0.238792
i: 1 x: 0.239693 y: 0.625200
i: 0 x: 0.975948 y: 0.835245
i: 0 x: 0.988836 y: 0.688149
i: 1 x: 0.799403 y: 0.245006
i: 1 x: 0.278546 y: 0.134933
i: 0 x: 0.385869 y: 0.985610
i: 1 x: 0.612740 y: 0.484205
i: 1 x: 0.545211 y: 0.457497
i: 0 x: 0.776015 y: 0.666191
i: 1 x: 0.697384 y: 0.017753
i: 1 x: 0.657185 y: 0.507042
i: 1 x: 0.830369 y: 0.397790
i: 1 x: 0.754720 y: 0.295387
i: 1 x: 0.030761 y: 0.712356
i: 1 x: 0.881604 y: 0.349320
i: 1 x: 0.951148 y: 0.121297
i: 0 x: 0.974520 y: 0.927096
i: 0 x: 0.956542 y: 0.963356
i: 1 x: 0.615245 y: 0.755945
i: 1 x: 0.208361 y: 0.893790
i: 0 x: 0.890878 y: 0.594230
i: 0 x: 0.879400 y: 0.503618
i: 1 x: 0.078435 y: 0.424611
i: 0 x: 0.961115 y: 0.854450
i: 1 x: 0.090802 y: 0.658498
i: 0 x: 0.872203 y: 0.747987
i: 1 x: 0.165540 y: 0.702572
i: 1 x: 0.145777 y: 0.920261
i: 0 x: 0.997959 y: 0.176538
i: 0 x: 0.632617 y: 0.879563
i: 1 x: 0.525858 y: 0.583765
i: 1 x: 0.000860 y: 0.500378
i: 0 x: 0.510861 y: 0.957402
i: 1 x: 0.463733 y: 0.126106
i: 1 x: 0.713347 y: 0.672095
i: 1 x: 0.019897 y: 0.604225
i: 1 x: 0.266325 y: 0.899297
i: 1 x: 0.107842 y: 0.344760
i: 1 x: 0.323908 y: 0.068957
i: 1 x: 0.199210 y: 0.414710
i: 1 x: 0.727455 y: 0.071413
i: 1 x: 0.162697 y: 0.892996
i: 1 x: 0.773985 y: 0.308473
i: 0 x: 0.813256 y: 0.771944
i: 1 x: 0.485011 y: 0.445873
i: 1 x: 0.651507 y: 0.010869
i: 1 x: 0.029639 y: 0.652367
i: 1 x: 0.511246 y: 0.540500
i: 0 x: 0.609768 y: 0.974979
i: 1 x: 0.666606 y: 0.323116
i: 1 x: 0.647074 y: 0.686503
i: 0 x: 0.927341 y: 0.913399
i: 1 x: 0.585800 y: 0.035183
i: 1 x: 0.258160 y: 0.909708
i: 1 x: 0.104140 y: 0.457370
i: 1 x: 0.324418 y: 0.831596
i: 1 x: 0.528783 y: 0.487114
i: 1 x: 0.724591 y: 0.302768
